Id,SalePrice
1461,149283.05
1462,167700.5
1463,156628.0
1464,189770.0
1465,201295.0
1466,181953.0
1467,186425.24
1468,190351.5
1469,189433.0
1470,122463.41
1471,193341.0
1472,95778.0
1473,117785.0
1474,146106.5
1475,163983.5
1476,528727.9
1477,314880.96
1478,328412.89
1479,295443.5
1480,380881.23
1481,288146.56
1482,225609.26
1483,194435.35
1484,184318.7848809524
1485,224526.36
1486,194832.58
1487,320471.85
1488,255783.57
1489,247652.64
1490,182846.0
1491,234669.58
1492,124125.51
1493,174926.0
1494,362353.86
1495,287572.0
1496,186923.5
1497,163062.52
1498,170604.76
1499,151685.0
1500,179481.30333333334
1501,179800.32333333336
1502,163825.0
1503,309146.15
1504,235970.66
1505,211072.5
1506,160226.5
1507,192355.0
1508,188692.7
1509,160366.5
1510,123737.5
1511,127837.0
1512,131338.75
1513,158970.0
1514,145632.25
1515,142858.0
1516,155970.7
1517,171406.67
1518,134550.32
1519,216239.32
1520,128567.47
1521,155724.0
1522,145195.0
1523,119020.89
1524,135483.0
1525,134561.0
1526,137173.91
1527,107889.34
1528,146808.75
1529,133988.98
1530,164301.0
1531,89330.23
1532,95413.5
1533,116961.0
1534,131278.0
1535,152290.25
1536,116684.8
1537,71378.71
1538,282352.5
1539,262809.77
1540,82962.86
1541,180083.0
1542,114634.15
1543,190093.0
1544,96424.76
1545,118120.0
1546,130805.0
1547,122482.0
1548,135159.5
1549,128552.84
1550,112237.8
1551,111382.5
1552,105867.93
1553,161431.75
1554,119575.34
1555,165608.78
1556,124805.61
1557,117884.7
1558,123750.0
1559,71349.99
1560,118251.52
1561,107354.32
1562,132400.0
1563,128698.16
1564,136459.65666666668
1565,142919.0
1566,264812.65
1567,103886.32
1568,217178.0
1569,108435.08
1570,170101.0
1571,104423.95
1572,141560.75
1573,238540.93
1574,132838.0
1575,275272.29
1576,189064.0
1577,213214.46
1578,174900.2
1579,147897.5
1580,202808.9
1581,163682.2
1582,128020.5
1583,251706.86
1584,211887.9
1585,139569.0
1586,94474.0
1587,120421.72
1588,137595.0
1589,110859.43
1590,136768.5
1591,103297.79
1592,122953.15
1593,129557.0
1594,119448.26
1595,111542.32
1596,213797.0
1597,157063.25
1598,242903.3
1599,212812.61
1600,212617.61
1601,67943.48
1602,128423.0
1603,87728.87
1604,244952.0
1605,260296.0
1606,165889.0
1607,171458.0
1608,222002.66
1609,251904.58
1610,164679.75
1611,172154.82
1612,148950.9
1613,153391.4
1614,118797.0
1615,81503.25
1616,82395.0
1617,80752.0
1618,134367.6
1619,153608.35
1620,109675.2
1621,144141.8
1622,146137.0
1623,267507.26
1624,192112.0
1625,160511.0
1626,167647.5
1627,187965.0
1628,254699.0
1629,188635.0
1630,224036.47
1631,227592.56
1632,246071.12
1633,196028.68
1634,180217.0
1635,184515.5
1636,173797.0
1637,149774.4
1638,195096.3
1639,182982.5
1640,220316.36
1641,196247.0
1642,195624.5
1643,236680.67
1644,243368.03
1645,158326.58
1646,170226.0
1647,188403.0
1648,122240.84
1649,134999.32
1650,115465.09
1651,133767.0
1652,102370.0
1653,111165.0
1654,144947.5
1655,160771.0
1656,144485.0
1657,145790.0
1658,145790.0
1659,159716.0
1660,151405.0
1661,364511.09
1662,433341.7
1663,354359.47
1664,387294.39
1665,340639.87
1666,308628.68
1667,347429.57
1668,335362.26
1669,315230.29
1670,397778.65
1671,248165.32
1672,385179.82
1673,300932.4
1674,262808.63
1675,192423.32
1676,189310.32
1677,229985.07
1678,451200.35
1679,318753.82
1680,378330.0
1681,317644.06
1682,295602.65
1683,169900.52
1684,222347.95
1685,183192.52
1686,177385.2857142857
1687,205102.99
1688,183610.5
1689,206762.86
1690,199772.55
1691,204217.0
1692,288891.53
